"28"	"type"	"What year did Homer and Marge meet?"	""	""	""	""	"1974"	""
"29"	"type"	"What did Bart use to defoliate the school yard?"	""	""	""	""	"Sodium Tetrasulfate"	""
"30"	"type"	"Who is the voice of Marge?"	""	""	""	""	"Julie Kavner"	""
"31"	"type"	"What is the name of the Governor?"	""	""	""	""	"Mary Bailey"	""
"32"	"type"	"Who was Marge's bowling instructor?"	""	""	""	""	"Jacques"	""
"33"	"type"	"What was the name of Krusty's evil companion?"	""	""	""	""	"Sideshow Bob"	""
"34"	"type"	"What is the full name of the Simpson's family doctor?"	""	""	""	""	"Dr. Julius Hibert"	""
"35"	"type"	"Which of the following movies were not referenced in variousepisodes: The Karate Kid, Teenage Mutant Ninja Turtles, Vertigo"	""	""	""	""	"Teenage Mutant Ninja Turtles"	""
"36"	"type"	"What did Homer get when he was promoted? (The key to___________________)"	""	""	""	""	"the Executive Washroom"	""
"37"	"type"	"What was the name of Homer's hair chemical solution?"	""	""	""	""	"Dimoxinil"	""
"38"	"type"	"What was the code name of the Albanian spy that stayed with theSimpson's when Bart went to France?"	""	""	""	""	"Sparrow"	""
"39"	"type"	"Who won the miniature golf tournament?"	""	""	""	""	"It was a draw"	""
"40"	"type"	"What was the name of Homer's confidante and one-time secretary?"	""	""	""	""	"Karl"	""
"41"	"type"	"How did the Simpson's pay for their family therapy session?"	""	""	""	""	"Hocked their TV"	""
"42"	"type"	"What was the name of the doctor who conducted the family therapy?"	""	""	""	""	"Dr. Marvin Monroe"	""
"43"	"type"	"What is the Reverend's name?"	""	""	""	""	"Lovejoy"	""
"44"	"type"	"Who is the girlfriend of the Sushi chef?"	""	""	""	""	"Ms. Krabapple"	""
"45"	"type"	"What foreign language does Bart speak?"	""	""	""	""	"French"	""
"46"	"type"	"What is the name of Homer's boss's assistant?"	""	""	""	""	"Smithers"	""
"47"	"type"	"Which of the following was not a safety violation at the Nuclearpower plant: Plutonium rod used as paperweight, Chewing gum used toseal leak in coolant tank, Monitoring station unmanned, Heavy waterpiped through restrooms."	""	""	""	""	"Heavy Water..."	""
"48"	"type"	"What is the name of the Simpson?s' next door neighbour?"	""	""	""	""	"Ned Flanders"	""
"49"	"type"	"What did Bart name his pet elephant?"	""	""	""	""	"Stampy"	""
"50"	"type"	"What is the name of the school bus driver?"	""	""	""	""	"Otto"	""
"51"	"type"	"Who provided the voice for Poochie in the itchy & scratchy & Poochie show?"	""	""	""	""	"Homer"	""
"52"	"type"	"What did Homer buy Marge for her 34th birthday?"	""	""	""	""	"Bowling Ball"	""
"53"	"type"	"What nationality were the people who bought the power plant from Mr. Burns?"	""	""	""	""	"German"	""
"54"	"type"	"Who runs the Kwik-e-mart?"	""	""	""	""	"Apu"	""
"55"	"type"	"Where does Marge hide the Christmas money?"	""	""	""	""	"In Her Hair"	""
"56"	"type"	"What is the name of the minister at the first church of Springfield?"	""	""	""	""	"Timothy Lovejoy"	""
"57"	"type"	"What does Bart do in the opening credits?"	""	""	""	""	"Writes On The Blackboard"	""
"58"	"type"	"What does Smithers collect?"	""	""	""	""	"Malibu Stacey Dolls"	""
"59"	"type"	"Who are Lisa?s favourite cartoon characters?"	""	""	""	""	"Happy Little Elves"	""
"60"	"type"	"What did homer smuggle on board the space shuttle?"	""	""	""	""	"Bag Of Potato Chips"	""
"61"	"type"	"How long was Marge in prison for when she was caught shoplifting?"	""	""	""	""	"30 Days"	""
"62"	"type"	"What is Marge?s maiden name?"	""	""	""	""	"Bouvier"	""
"63"	"type"	"Who did Marge go to her high school prom with?"	""	""	""	""	"Artie Ziff"	""
"64"	"type"	"What is the name of the realty firm homer and Marge used to buy their house?"	""	""	""	""	"Stinking Fish Realty"	""
"65"	"type"	"Who sold a defective monorail system to Springfield?"	""	""	""	""	"Lyle Lanley"	""
"66"	"type"	"Who ran Bart over in his car?"	""	""	""	""	"Burns"	""
"67"	"type"	"What is the name of the first Simpson?s episode shown?"	""	""	""	""	"Simpsons Roasting On An Open Fire"	""
"68"	"type"	"Which famous person does Marge love to paint?"	""	""	""	""	"Ringo Starr"	""
"69"	"type"	"What is Sideshow Bob's middle name?"	""	""	""	""	"Underdunk"	""
"70"	"type"	"What is the name of Bart?s favourite comic book action hero?"	""	""	""	""	"Radioactive Man"	""
"71"	"type"	"Where does Otto immediately move to upon losing his job?"	""	""	""	""	"A trash-co. waste disposal unit"	""
"72"	"type"	"Why must Santa's little helper get an operation?"	""	""	""	""	"He has a twisted stomach"	""
"73"	"type"	"What award does Homer receive in ""brother can you spare two dimes?"""	""	""	""	""	"The first annual Montgomery Burns award for outstanding achievement in the field of excellence"	""
"74"	"type"	"What is the code name of Adil, the foreign exchange student from Albania?"	""	""	""	""	"Sparrow"	""
"75"	"type"	"What do Patty + Selma say you can't spell without i.o.u.?"	""	""	""	""	"Obsequious"	""
"76"	"type"	"What is Burns' oldest dog's name?"	""	""	""	""	"Crippler"	""
"77"	"type"	"What holds up the volunteer fire department as they are trying to rescue Homer?"	""	""	""	""	"Ducks crossing the street"	""
"78"	"type"	"Who does Bart have to sit beside on the filed trip to SNPP?"	""	""	""	""	"Wendel"	""
"79"	"type"	"What is Apu's last name?"	""	""	""	""	"Nahasapeemapetilon"	""
"80"	"type"	"What is Barney's short film called (a star is Burns)?"	""	""	""	""	"Puke-a-hantas"	""
"81"	"type"	"How much did the Simpsons pay to get illegally hooked up to cable?"	""	""	""	""	"$50"	""
"82"	"type"	"What is Mr. Burns and Bart's blood type?"	""	""	""	""	"Double o negative"	""
"83"	"type"	"What game can't Lisa play because she is too sad?"	""	""	""	""	"Dodgeball"	""
"84"	"type"	"How do the German owners of SNPP describe their country to Homer? (Burns verkaft das Kraftverk)"	""	""	""	""	"The land of chocolate"	""
"85"	"type"	"Who was Lisa?s jazz-playing mentor?"	""	""	""	""	"Bleedin' Gums Murphy"	""
"86"	"type"	"What was Ned Flanders' job before he opened the leftorium?"	""	""	""	""	"Pharmacist"	""
"87"	"type"	"What is grandma Bouvier's first name?"	""	""	""	""	"Jacqueline"	""
"88"	"type"	"Who is the head of itchy and scratchy?"	""	""	""	""	"Roger Meyers"	""
"89"	"type"	"Who is Selma and Patty's favourite star."	""	""	""	""	"Macgyver, Or Richard Dean Anderson"	""
"90"	"type"	"What restaurant chain attempts to steal and then buy flaming Moes from Moe?"	""	""	""	""	"Tipsy Mcstagger's"	""
"91"	"type"	"Who played happy birthday for Mr. Burns?"	""	""	""	""	"The Ramones"	""
"92"	"type"	"Who was the principal when Homer and Marge were in high school?"	""	""	""	""	"Dondelinger"	""
"93"	"type"	"Who is Krusty's secretary?"	""	""	""	""	"Lois Pennycandy"	""
"94"	"type"	"Where does barney become trapped in his Plough king truck?"	""	""	""	""	"Widow's Peak, Which Is On Mt. Springfield"	""
"95"	"type"	"What were Bart?s first words?"	""	""	""	""	"Ay Carumba"	""
"96"	"type"	"Who are itchy and scratchy's European counterparts?"	""	""	""	""	"Worker & Parasite"	""
"97"	"type"	"What instrument does Lisa play in the whacking day episode? (not the saxophone)."	""	""	""	""	"Bass Guitar"	""
"98"	"type"	"What is the cat burglar's real name?"	""	""	""	""	"Malloy"	""
"99"	"type"	"What is Martin's IQ?"	""	""	""	""	"216"	""
"100"	"type"	"Who did Krusty steal the crank-call bit from?"	""	""	""	""	"Steve Allen"	""
"101"	"type"	"What ""letter"" is the cat burglar's ""treasure"" buried under?"	""	""	""	""	"T"	""
"102"	"type"	"What is the bunny called in friar Wiggum's fantastical beastarium?"	""	""	""	""	"Esquilax"	""
"103"	"type"	"Who runs the country according to Smithers? germs?"	""	""	""	""	"Free Masons"	""
"104"	"type"	"Who is the one remaining (sane) ringer on the baseball team?"	""	""	""	""	"Daryl Strawberry"	""
"105"	"type"	"What excuse does homer use (on his insurance form) for buying dimoxinil?"	""	""	""	""	"To Keep Brain From Freezing"	""
"106"	"type"	"What is the placebo cure for the Japanese flu?"	""	""	""	""	"Killer Bees"	""
"107"	"type"	"Where does Bart get the name ""Woodrow"" from?"	""	""	""	""	"Woodrow Wilson, U.S. President"	""
"108"	"type"	"Who ran over snowball I?"	""	""	""	""	"Clovis Quimby"	""
"109"	"type"	"What does homer's note to himself say in Halloween special IV?"	""	""	""	""	"Dear Homer, Iou One Emergency Donut"	""
"110"	"type"	"What does Bart write on his butt in ""Bart vs. Australia""?"	""	""	""	""	"Don't Tread On Me"	""
"111"	"type"	"Who does Springfield believe is trapped down a well?"	""	""	""	""	"Timmy O'toole"	""
"112"	"type"	"Who narrates ""the raven"" in Halloween special i?"	""	""	""	""	"James Earl Jones"	""
"113"	"type"	"What is Lisa?s future occupation according to the cant test?"	""	""	""	""	"Homemaker"	""
"114"	"type"	"What instrument does homer replace Lisa?s saxophone with after it is stolen?"	""	""	""	""	"Jug"	""
"115"	"type"	"Who is in the car with the Japanese restaurant owner?"	""	""	""	""	"Mrs. Krabappel"	""
"116"	"type"	"Who narrated ""the good book"" on tape?"	""	""	""	""	"Larry King"	""
"117"	"type"	"What song does Mr. Burns make a parody of as he is showing off his animal skin clothes (two dozen and one greyhounds)?"	""	""	""	""	"""Be Our Guest"" From Beauty & The Beast"	""
"118"	"type"	"What singer does Mr. Burns force to perform for Marge?"	""	""	""	""	"Tom Jones"	""
"119"	"type"	"Where does Otto immediately move to upon losing his job?"	""	""	""	""	"A Trash-Co. Waste Disposal Unit"	""
"120"	"type"	"What is the name of the Simpsons' next door neighbor?"	"Barney Gumble"	"Ned Flanders"	"Principal Skinner"	""	"Ned Flanders"	""
"121"	"type"	"Who founded the Simpsons' town?"	"Jebadiah Springfield"	"Zachariah Springfield"	"Springfield Manhattan"	""	"Jebadiah Springfield"	""
"122"	"type"	"How old is Bart?"	"10"	"11"	"12"	""	"10"	""
"123"	"type"	"What is the name of the clown on Channel 6?"	"Gabbo"	"Krusty"	"Bonko"	""	"Krusty"	""
"124"	"type"	"What is the name of Lisa's jazz mentor?"	"Billy Jazzman"	"Blind Willy Witherspoon"	"Bleeding Gums Murphy"	""	"Bleeding Gums Murphy"	""
"125"	"type"	"Who is Mr Burns' assistant?"	"Seymour Skinner"	"Barnard Gumble"	"Waylon Smithers"	""	"Waylon Smithers"	""
"126"	"type"	"What is the name of the bar where Homer drinks?"	"Moe's Tavern"	"Joe's Cavern"	"The Drink Hole"	""	"Moe's Tavern"	""
"127"	"type"	"Which one of these is not a catchphrase Bart uses?"	"Aye Carumba!"	"Don't have a cow, man!"	"Woohoo!"	""	"Woohoo!"	""
"128"	"type"	"What did the Simpsons get for their first Christmas?"	"A dog"	"A cat"	"A hamster"	""	"A dog"	""
"129"	"type"	"What does Bart do in the opening credits?"	"Write on the blackboard"	"Play a practical joke on Homer"	"Drive Marge's car"	""	"Write on the blackboard"	""
"130"	"type"	"What is the name of the minister at the First Church of Springfield?"	"Ned Flanders"	"Timothy Lovejoy"	"Carl Carlson"	""	"Timothy Lovejoy"	""
"131"	"type"	"Where does Marge hide the Christmas money?"	"In her hair"	"In the glove compartment of her car"	"In the attic"	""	"In her hair"	""
"132"	"type"	"Who runs the Kwik-E-Mart?"	"Apu"	"Homer"	"Mr. Burns"	""	"Apu"	""
"133"	"type"	"What nationality were the people who bought the power plant from Mr. Burns?"	"French"	"German"	"Swiss"	""	"German"	""
"134"	"type"	"What is the name of Mr. Burns' teddy bear?"	"Nono"	"Gogo"	"Bobo"	""	"Bobo"	""
"135"	"type"	"What did Homer buy Marge for her 34th birthday?"	"A bowling ball"	"A tackle box"	"Panty hose"	""	"A bowling ball"	""
"136"	"type"	"Who provided the voice for Poochie in the Itchy & Scratchy & Poochie show?"	"Troy McClure"	"Otto"	"Homer"	""	"Homer"	""
"137"	"type"	"What is the name of the school bus driver?"	"Otto"	"Blotto"	"Martin"	""	"Otto"	""
"138"	"type"	"What did Bart name his pet elephant?"	"Noisy"	"Smashy"	"Stampy"	""	"Stampy"	""
"139"	"type"	"What is Chief Wiggum's first name?"	"Cletus"	"Clancey"	"Charlie"	""	"Clancey"	""
"140"	"type"	"What is Marge's maiden name?"	"Bouvier"	"Croupier"	"Smith"	""	"Bouvier"	""
"141"	"type"	"How long was Marge in prison for when she was caught shoplifting?"	"20 days"	"30 days"	"60 days"	""	"30 days"	""
"142"	"type"	"What did Homer smuggle on board the space shuttle?"	"A bag of potato chips"	"A tub of gummi beers"	"A huge pretzel"	""	"A bag of potato chips"	""
"143"	"type"	"Who teaches music at Springfield Elementary?"	"Principal Skinner"	"Mr. Largo"	"Miss Hoover"	""	"Mr. Largo"	""
"144"	"type"	"Who did Barney replace in the Be Sharps?"	"Skinner"	"Chief Wiggum"	"Moe Szyslak"	""	"Chief Wiggum"	""
"145"	"type"	"Who are Lisa's favorite cartoon characters?"	"Happy Little Elves"	"The Smurfs"	"The Teletubbies"	""	"Happy Little Elves"	""
"146"	"type"	"What does Smithers collect?"	"Star Wars memorabilia"	"Malibu Stacey Dolls"	"Romance comics"	""	"Malibu Stacey Dolls"	""
"147"	"type"	"What is the name of Homer's brother?"	"Hank Powell"	"Herbert Powell"	"Henry Powell"	""	"Herbert Powell"	""
"148"	"type"	"What is the name of Bart's favorite comic book action hero?"	"Radiation Dude"	"Radioactive Man"	"Mezmorino"	""	"Radioactive Man"	""
"149"	"type"	"Who is his sidekick?"	"Fallout Boy"	"Biclops"	"Radiation Dude"	""	"Fallout Boy"	""
"150"	"type"	"How long was Lisa banned from the Springfield History Museum?"	"One week"	"One month"	"Three months"	""	"Three months"	""
"151"	"type"	"What is Sideshow Bob's middle name?"	"Terwilliger"	"Robert"	"Underdunk"	""	"Underdunk"	""
"152"	"type"	"Which famous person does Marge love to paint?"	"Paul McCartney"	"Ringo Starr"	"George Harrison"	""	"Ringo Starr"	""
"153"	"type"	"What is the name of the first Simpsons episode aired in the U.S.?"	"Bart the Genius"	"Simpsons Roasting On An Open Fire"	"Some Enchanted Evening"	""	"Simpsons Roasting On An Open Fire"	""
"154"	"type"	"Who ran Bart over in his car?"	"Homer"	"Mr. Burns"	"Moe"	""	"Mr. Burns"	""
"155"	"type"	"Who sold a defective monorail system to Springfield?"	"Lyle Lanley"	"Lionel Hutz"	"Jimmy the Scumbag"	""	"Lyle Lanley"	""
"156"	"type"	"What insect stars on Channel Ocho?"	"Fly"	"Bumblebee"	"Bluebottle"	""	"Bumblebee"	""
"157"	"type"	"What is the name of the realty firm Homer and Marge used to buy their house?"	"Frozen Shrimp realty"	"Stinking Fish realty"	"Red Blazer realty"	""	"Stinking Fish realty"	""
"158"	"type"	"Who did Marge go to her high school prom with?"	"Homer Simpson"	"Waylon Smithers"	"Artie Ziff"	""	"Artie Ziff"	""
"159"	"type"	"What was the name of Laura Powers' mother?"	"Ruth"	"Mary"	"Ashley"	""	"Ruth"	""
"160"	"type"	"Who practices medicine without a license?"	"Dr. Hibbert"	"Dr. Nick"	"Bart Simpson"	""	"Dr. Hibbert"	""
"161"	"type"	"Where did Homer get the idea for his new name, Max Power?"	"From the nuclear reactor at work"	"From a hairdryer"	"From the Squishee machine at the Kwik-E-Mart"	""	"From a hairdryer"	""
"162"	"type"	"What was the name of Homer's secretary when he was promoted?"	"Karl"	"John"	"Candice"	""	"Karl"	""
"163"	"type"	"Who said ''So I says to Mabel, I says...''"	"Bart"	"Milhouse"	"Lenny"	""	"Bart"	""
"164"	"type"	"Who stands in for Kent Brockman when he is ill?"	"Scott Christian"	"Arnie Pie"	"Rainier Wolfcastle"	""	"Scott Christian"	""
"165"	"type"	"Where are the Kwik-E-Mart headquarters located?"	"England"	"India"	"Germany"	""	"India"	""
"166"	"type"	"Who was Milhouse's first girlfirend?"	"Samantha Stanky"	"Sarah Stinky"	"Laura Powers"	""	"Samantha Stanky"	""
"167"	"type"	"What was the name of the country and western singer that Homer managed?"	"Laura Lumplin"	"Lurleen Lumpkin"	"Lisa Lincoln"	""	"Lurleen Lumpkin"	""
"168"	"type"	"Who invented the Flaming Moe?"	"Moe Szyslak"	"Moe St. Cool"	"Homer Simpson"	""	"Homer Simpson"	""
"169"	"type"	"Who was the Plow King?"	"Lenny"	"Barney"	"Homer"	""	"Barney"	""
"170"	"type"	"What is the name of the guy at the comic book store?"	"Raphael"	"Jeff Albertson"	"He has no name"	""	"Jeff Albertson"	""
"171"	"type"	"Who created the cartoon character Itchy?"	"Roger Meyers Jr."	"Roger Meyers Sr."	"Chester Lampwick"	""	"Chester Lampwick"	""
"172"	"type"	"What is Martin Prince's IQ?"	"215"	"216"	"218"	""	"216"	""
"173"	"type"	"What did Shelbyville drink in celebration for banishing the lemon tree?"	"Carrot juice"	"Turnip juice"	"Onion juice"	""	"Turnip juice"	""
"174"	"type"	"Who is Groundskeeper Willy's enemy?"	"Skinner"	"Bart"	"Seamus"	""	"Seamus"	""
"175"	"type"	"What was the happiest day of Ralph's life?"	"When the doctor told him he didn't have worms any more."	"When he saw a leprechaun"	"When he was rescued from the deep end of his sand pit"	""	"When the doctor told him he didn't have worms any more."	""
"176"	"type"	"Who provided the voice for Homer in Bart's Internet cartoon, Angry Dad?"	"Dan Akroyd"	"Dan Castellaneta"	"Matthew Perry"	""	"Dan Castellaneta"	""
"177"	"type"	"Who is Gabbo's puppeteer?"	"Fabbo"	"George Fairwell"	"Arthur Crandell"	""	"Arthur Crandell"	""
"178"	"type"	"What is the name of the cocktail waitress Ned married?"	"Ginger"	"Amber"	"Candy"	""	"Ginger"	""
"179"	"type"	"What were the names of the carnies who took over the Simpsons' home?"	"Cooder and Spud"	"Patches and Violet"	"Cletus and Brandine"	""	"Cooder and Spud"	""
"180"	"type"	"What was the name of Johnny Calhoun's spoken word album?"	"This thing I believe"	"I believe in things"	"These things I believe"	""	"These things I believe"	""
"181"	"type"	"What did Nelson tell Bart was showing?"	"His butt"	"His epidermis"	"His lamina"	""	"His epidermis"	""
"182"	"type"	"What statue do the town buy instead of Lincoln?"	"Gerald Ford"	"George Bush"	"Jimmy Carter"	""	"Jimmy Carter"	""
"183"	"type"	"What was the alternate banner wording for the weather balloon Bart defaced?"	"Hi, I'm Big Butt Skinner!"	"Buttzilla"	"I Am A Wiener"	""	"Buttzilla"	""
"184"	"type"	"What did Lionel Hutz rename himself after babysitting Bart & Lisa?"	"Miguel Sanchez"	"Philip McNeille"	"Daniel Cartright"	""	"Miguel Sanchez"	""
"185"	"type"	"Who replaced Otto in A Streetcar Named Desire?"	"Ned Flanders"	"Chief Wiggum"	"Llewellyn Sinclair"	""	"Llewellyn Sinclair"	""
"186"	"type"	"What time does Bingo start at the church?"	"6pm"	"7pm"	"8pm"	""	"7pm"	""
"187"	"type"	"Where do Homer and Marge go to buy things for their dinner party?"	"Stoner's Pot Palace"	"Miscellaneous, etc."	"Dingo Junction"	""	"Stoner's Pot Palace"	""
"188"	"type"	"Who told viewers how the dogs talk on the beer commercial?"	"Kent Brockman"	"Cowboy Steve"	"Dr. Marvin Monroe"	""	"Cowboy Steve"	""
"189"	"type"	"What was the name of the Star Trek Movie that Bart, Lisa & Grampa watched?"	"Star Trek X: A New Beginning"	"Star Trek XI A Prequel To A New Beginning"	"Star Trek XII: So Very Tired"	""	"Star Trek XII: So Very Tired"	""
"190"	"type"	"What was in the room next to the candy convention?"	"Star Wars Convention"	"Candy-shaped Rat Poison Convention"	"Sugar Convention"	""	"Candy-shaped Rat Poison Convention"	""
"191"	"type"	"How many boys are named Corey in the magazines Lisa reads?"	"Six"	"Eight"	"Eleven"	""	"Eight"	""
"192"	"type"	"Who ran over Snowball I?"	"Homer"	"Dr. Hibbert"	"Clovis Quimby"	""	"Clovis Quimby"	""
"193"	"type"	"Who stayed up all night dying their underwear?"	"Gil"	"Duffman"	"Human Fly"	""	"Human Fly"	""
"194"	"type"	"What was Hans Moleman's original character name?"	"Hans Mellish"	"Ralph Moleman"	"Ralph Mellish"	""	"Ralph Mellish"	""
"195"	"type"	"When Mrs. Krebappel put a personal ad in the paper, who was her first date?"	"Grampa Simpson"	"Jasper"	"Hans Moleman"	""	"Jasper"	""
"196"	"type"	"Who said: ''Such a nice day. I think I'll go out the window.''?"	"Moe"	"Dr. Nick"	"Lionel Hutz"	""	"Dr. Nick"	""
"197"	"type"	"How old is Bart when he finally gets to see the Itchy & Scratchy movie?"	"40"	"45"	"50"	""	"50"	""
"198"	"type"	"What does Lenny share a wall of his house with?"	"An amusement arcade"	"A squash court"	"A firing range"	""	"A squash court"	""
"199"	"type"	"What is the name of the gymnastics teacher at the Springfield YMCA?"	"Baldash"	"Lugash"	"Rebash"	""	"Lugash"	""
"200"	"type"	"How much does Jaques usually charge for bowling lessons?"	"$40"	"$50"	"$55"	""	"$40"	""
"201"	"type"	"What is the name of Cletus' wife?"	"Jean"	"Francine"	"Brandine"	""	"Brandine"	""
"202"	"type"	"What is Lisa's IQ?"	"153"	"156"	"158"	""	"156"	""
"203"	"type"	"What was the number on the license plate Bart and Lisa dug up using the mine detector?"	"247 BEF"	"346 GYR"	"659 APC"	""	"247 BEF"	""
"204"	"type"	"Who was Marge's inmate when she was in prison?"	"Tattoo Annie"	"Phillips"	"Eliza"	""	"Phillips"	""
"205"	"type"	"What is the name of the Chinese man that works at Springfield Retirement Home?"	"Craig"	"Eddie"	"Roy"	""	"Craig"	""
"206"	"type"	"What is the name of the chemical that attracts bullies?"	"Poindextrose"	"Nerdium chloride"	"Geekonerdialate"	""	"Poindextrose"	""
"207"	"type"	"What did Homer name his ''fourth child''?"	"Gerald"	"Stitchface"	"Hans Moleman"	""	"Stitchface"	""
"208"	"type"	"How large is West Springfield in relation to Texas?"	"Twice as large"	"Three times larger"	"Six times larger"	""	"Three times larger"	""
"209"	"type"	"What is the population of the Land of Chocolate?"	"1216"	"1372"	"1452"	""	"1372"	""
"210"	"type"	"What were Kent Brockman's winning lottory numbers?"	"3, 10, 17, 25, 37, 40"	"3, 17, 25, 38, 41, 48"	"4, 8, 15, 16, 23, 42"	""	"3, 17, 25, 38, 41, 48"	""
"211"	"type"	"What is the name of Bart's dog?"	""	""	""	""	"Santa's Little Helper"	""
"212"	"type"	"What is Homer's middle name?"	""	""	""	""	"Jay"	""
"213"	"type"	"Who actually shot Mr. Burns?"	""	""	""	""	"Maggie Simpson"	""
"214"	"type"	"What is the name of Springfield's rival town?"	""	""	""	""	"Shelbyville"	""
"215"	"type"	"How many eyes does Blinky have?"	""	""	""	""	"3"	""
"216"	"type"	"Who is the leader of the Springfield Mafia?"	""	""	""	""	"Fat Tony"	""
"217"	"type"	"What is the name of the Springfield baseball team?"	""	""	""	""	"The Isotopes"	""
"218"	"type"	"Where are you likely to hear the phrase 'Thank you, come again!'?"	""	""	""	""	"Kwik-E-Mart"	""
"219"	"type"	"What is Marge's maiden name?"	""	""	""	""	"Marjorie Bouvier"	""
"220"	"type"	"What is the name of the store owned by Ned Flanders?"	""	""	""	""	"Leftorium"	""
"221"	"type"	"What is the name of the 'superhero' who stars in Bart and Millhouse's favorite comic book?"	""	""	""	""	"Radioactive Man"	""
"222"	"type"	"What 'thing' put North Haverbrook, Ogdenville, and Brockway 'on the map'?"	""	""	""	""	"Monorail"	""
"223"	"type"	"What is the profession of Lurleen Lumpkin?"	""	""	""	""	"Country musician"	""
"224"	"type"	"What is the name of the dog who once starred with Itchy & Scratchy?"	""	""	""	""	"Poochie"	""
"225"	"type"	"What is the name of Bart's pet elephant?"	""	""	""	""	"Stampy"	""
"226"	"type"	"Who founded Springfield?"	""	""	""	""	"Jebediah Springfield"	""
"227"	"type"	"What is the name of Homer's (now deceased) enemy?"	""	""	""	""	"Frank Grimes"	""
"228"	"type"	"What is the name of Homer’s barbershop quartet? They have a hit with 'Baby on Board'"	""	""	""	""	"The Be Sharps"	""
"229"	"type"	"Which sector of the power plant does Homer work in?"	""	""	""	""	"Sector 7G"	""
"230"	"type"	"Which character stars in the short film ‘man getting a football in the groin’?"	""	""	""	""	"Hans Moleman"	""
"231"	"type"	"What is the name of the product Smithers has the largest collection in the world off?"	""	""	""	""	"Malibu Stacy"	""
"232"	"type"	"What TV personality wrote and co-produced this episode?"	""	""	""	""	"Conan O'Brien"	""
"233"	"type"	"What is the first thing Homer considers using as an anchor to stop the monorail?"	""	""	""	""	"Bart"	""
"234"	"type"	"Who says “The ring came off my pudding can” during the Monorail Song?"	""	""	""	""	"Chief Wiggum"	""
"235"	"type"	"What does Homer call the large possum living in the Monorail’s fire extinguisher panel?"	""	""	""	""	"Bitey"	""
"236"	"type"	"What animated TV show’s intro is parodied at the beginning of this episode?"	""	""	""	""	"The Flintstones"	""
"237"	"type"	"Who says to Homer, 'I'm a well-wisher, in that I don't wish you any specific harm.'"	""	""	""	""	"Moe"	""
"238"	"type"	"What does Homer smuggle on board the space craft?"	""	""	""	""	"A bag of potato chips (''Careful, they’re ruffled!’’)"	""
"239"	"type"	"When the ants see that Homer is about to crash into their Ant Farm, they get into a frantic argument over which one of them is ________."	""	""	""	""	"the Queen"	""
"240"	"type"	"What astronaut guest stars in this episode?"	""	""	""	""	"Buzz Aldrin (''if that is your REAL name…'')"	""
"241"	"type"	"Who says the now-famous ''I, for one, welcome our new insect overlords.’’?"	""	""	""	""	"Kent Brockman"	""
"242"	"type"	"When Barney is told there will be no beer for the duration of the training, he says ''What? Three whole weeks with only ______? I’ll go crazy!’’"	""	""	""	""	"wine"	""
